CustomerID,CompanyName,ContactName,Email,Phone,Country,StreetAddress,PostalCode,LastPurchaseDate,CustomerSince,ActiveStatus
28,"Hoffman, Baker and Richards",Michael Martinez,amymurphy@example.com,001-618-915-8084,Brazil,798 Jason Valley,76476,2023-09-27,2017-02-20,Inactive
29,"Ross, Robinson and Bright",Bill Green,durhammelissa@example.com,(462)473-8724x88635,Germany,016 Paul Fort Suite 654,09331,2022-11-15,2022-11-20,Active
30,"Snyder, Campos and Callahan",Dr. Judy Cox,gabriellearcher@example.net,369-633-7536,United States,71985 Candice Throughway Apt. 156,62317,2022-12-23,2015-04-01,Active
31,Burton Ltd,Michael Fisher,shawn18@example.net,426.699.5376,Germany,97218 Stewart Key,08122,2024-12-21,2021-11-11,Active
32,Carlson-Cruz,Felicia Kramer,alishawn@example.net,7916941229,United States,552 Jeffrey Manor,67546,2023-09-10,2020-11-19,Active
33,"Ferrell, Rice and Maddox",Angela Duffy,christine14@example.net,603.448.9931x926,United States,1719 Erica Lake,84412,2023-09-25,2018-11-22,Active
34,Frazier Inc,Michael Williams,baileykatherine@example.net,+1-698-721-7449,Austria,74228 Johnson Divide,44630,2023-04-09,2022-10-27,Active
35,"Dyer, Potter and Mack",Ronald Hernandez,friedmanjoseph@example.com,+1-886-373-9211x219,Norway,5912 Price Crescent,60298,2022-12-17,2018-01-07,Active
36,Rodriguez-Graham,Jonathan Taylor,onealdiane@example.com,472.200.1029x27182,United Kingdom,309 Rodney Junction Suite 128,17676,2023-07-15,2022-03-16,Active
37,Smith-Bowen,Kenneth Clark,daniel10@example.org,001-244-667-5075,Canada,09597 Diana Forest,31155,2024-08-21,2024-02-17,Active
38,"Baker, Mason and White",John Rogers,asellers@example.org,(812)624-7141x1673,United States,676 Rogers Forge Suite 176,07551,2024-07-13,2015-12-15,Active
39,Harrell LLC,Justin Nash,imyers@example.net,806-576-1461x17769,France,3451 Butler Walk Apt. 946,16294,2024-10-07,2017-07-11,Active
40,"Romero, Gonzalez and Brooks",Dylan Mason,kelly55@example.org,+1-711-409-8983x973,Mexico,33724 Miranda Terrace,46506,2023-01-20,2023-07-21,Inactive
41,Ryan PLC,John Davis,zrobinson@example.com,936.674.1304x504,United States,322 Martinez Cove,56465,2024-10-11,2019-04-19,Active
42,George Group,Drew Powell,mhamilton@example.net,001-342-543-8373x9007,Brazil,101 Brian Port,44627,2023-05-21,2020-12-11,Active
43,Rodriguez LLC,Sabrina Cruz,christine02@example.net,(659)610-6183x55496,United States,477 Cooper Fall Apt. 668,65631,2024-05-05,2021-07-09,Active
44,Allen-Allen,Michelle Glass,joshualivingston@example.org,210.979.2359x551,Italy,94716 Nguyen Falls,36034,2023-11-06,2020-12-14,Inactive
45,"Arroyo, Miller and Tucker",Mrs. Diane Decker,patriciahoffman@example.com,(454)457-0278,United States,8015 Guerra Forges,67064,2022-07-15,2016-04-02,Active
46,Spence PLC,Allison Clark,jackpatterson@example.com,447-662-2898,Germany,77461 Hernandez Common,41262,2024-11-24,2019-09-19,Active
47,Anderson Group,Tiffany Schwartz,christina18@example.net,(380)931-0846,Canada,6384 Miller Manors,58241,2024-04-18,2018-12-29,Inactive
48,"Martin, Rose and Obrien",Jennifer Diaz,ydavis@example.org,(792)465-9938x788,Brazil,382 Tara Junction Apt. 406,82580,2022-08-27,2018-02-19,Active
49,Hickman Ltd,Brenda Long,richardjoseph@example.net,+1-918-389-6672,Germany,1336 Paula Forest,38667,2022-07-20,2019-04-26,Active
50,"Harris, Collins and Carney",Scott Vargas,hopkinskaren@example.org,950.381.4635x80805,United States,41693 Amanda Vista Suite 094,59220,2024-06-29,2018-02-11,Active
51,"Brooks, Lam and Hayes",Nathan Santiago,barrettchristopher@example.org,(633)592-8298x11862,Norway,498 Hudson Falls Apt. 129,81595,2023-12-19,2023-05-02,Active
52,Walker LLC,Andrew Johnson,byrdjames@example.com,+1-701-218-0386,United Kingdom,42167 Freeman Meadow Apt. 286,26109,2023-04-26,2016-03-24,Active
53,Chapman and Sons,Megan Thomas,ochoasophia@example.org,306.666.5575,Netherlands,86581 Henry Drive Apt. 785,04403,2022-08-26,2023-10-27,Active
54,"Robinson, Jones and Welch",Mary Miller,toddroberts@example.org,001-523-481-4900x666,Italy,38759 Alex Park Apt. 248,41331,2023-10-04,2021-03-13,Active
55,Jones Inc,Jamie Smith,kristopher93@example.com,(958)916-0223,Germany,316 Emily Flat Suite 026,84187,2023-08-27,2021-05-11,Active
56,Jones-Young,Alexander Cannon,kaitlinperez@example.net,001-494-450-5495,Netherlands,0249 Tucker Station,91189,2024-03-14,2023-03-25,Active
57,"Washington, Ryan and Cummings",Rodney Simpson,olsonomar@example.net,(449)286-7942,United States,25372 Brown Wells Suite 237,18319,2024-11-01,2020-04-30,Active
58,"Johnston, Sanchez and Kennedy",Troy Harris,kgrant@example.com,(585)992-7751x309,United States,0042 Ross Estates,18160,2024-11-29,2022-06-06,Active
59,Lee-Davis,Matthew Swanson,elizabeth84@example.net,429.472.9140,United States,9291 Dunn Way Apt. 584,28106,2023-09-14,2022-06-19,Inactive
60,Gomez-Jenkins,Erica Fisher DDS,davidwalters@example.com,(780)681-4635x50666,Canada,7773 Catherine Ramp,12333,2025-01-17,2017-09-21,Active
61,"Brown, Valdez and Lucas",Kyle Farmer,htorres@example.com,3793137057,Canada,618 Williams Dale,25361,2023-12-27,2019-06-06,Active
62,Powell LLC,Robin Davis,sergio07@example.org,001-432-372-3566x25783,United States,95716 Leslie Prairie Suite 211,47468,2024-03-28,2016-09-02,Active
63,Wright and Sons,Nathan Lawrence,ohernandez@example.com,001-468-244-5655x20133,United Kingdom,7929 Bell Manors Apt. 917,09548,2023-05-02,2021-12-06,Active
64,"West, Henderson and Ramirez",Linda Young,reesemichael@example.com,(473)971-9402x071,Canada,22756 Rojas Hills Suite 549,33061,2024-08-29,2018-07-28,Active
65,Baxter Inc,Kelly Acosta,kwashington@example.org,471.391.0164x6082,United States,3842 Perry Tunnel Apt. 782,20873,2023-11-30,2018-11-21,Active
66,Morton-Chase,Emily Holloway,pmartinez@example.net,+1-992-872-6575x52932,Brazil,622 Anderson Roads Apt. 164,34376,2025-02-11,2016-09-25,Active
67,Williams PLC,Carrie Schneider,jose51@example.org,333.302.2930x8485,United States,059 Gallegos Courts Apt. 809,05289,2024-03-30,2019-11-17,Active
68,Novak and Sons,Gabriella Crane,harperjorge@example.com,660-688-6216,United Kingdom,47961 Christina Shores Suite 777,60416,2024-01-30,2020-10-05,Active
69,Russell Group,Joshua Harding,richardsstacy@example.org,001-720-527-8183x25244,United States,545 Martin Pike,08923,2022-04-29,2019-04-07,Active
70,Hancock Inc,Lori Williams,dan28@example.com,872-968-2155,South Korea,364 Jeff Ford Apt. 303,81443,2024-07-30,2023-04-01,Active
71,Gray Group,Amber Baker,larryking@example.org,+1-319-720-1248x4417,United Kingdom,80853 Davis Trace Suite 195,18093,2022-05-25,2016-09-09,Active
72,House-Glover,Jeremy Coleman,fkirk@example.net,743-496-1890x7831,United States,5395 Jones Land Apt. 982,62205,2023-10-22,2015-11-04,Active
73,Henderson-Bernard,Jason Jackson,pwilliams@example.net,749.393.7269,United States,847 Joshua Walk Suite 450,98918,2022-11-06,2016-05-14,Active
74,"Stanley, Tucker and Lee",Allison Mccormick,hking@example.com,001-913-620-5853,United Kingdom,845 Hayden Stream,23632,2024-08-06,2018-05-02,Active
75,Novak PLC,William Craig,mark37@example.net,558.204.8276x42336,France,3860 Oconnor Forest,71980,2023-09-04,2017-02-19,Active
76,"Daniels, Adkins and Brown",Austin Farrell,megan01@example.com,+1-714-972-0080x912,France,4269 Pamela Island Apt. 523,09962,2023-03-20,2019-04-13,Active
77,"Woods, Calhoun and Schmidt",Laura Chan,raustin@example.com,578.521.0567,United Kingdom,4635 Mckinney Cape Apt. 423,06485,2023-01-08,2023-08-05,Inactive
78,Yu Inc,Vicki Hammond,graysierra@example.org,506.765.2567x05534,United States,7090 Chloe Court Suite 699,25806,2024-07-10,2020-12-05,Active
79,Jones Inc,Shelby Pruitt,nicole33@example.com,756.550.2671,Canada,9395 Jacqueline Via Suite 732,24341,2024-02-28,2017-06-13,Active
80,"Hensley, Powell and David",Wyatt Roy,hhuang@example.com,001-345-357-4044x9927,United States,22780 Fuentes Ridge Suite 095,46052,2024-04-04,2015-10-27,Inactive
81,"Sanchez, Wheeler and Harvey",William Becker,cummingschristopher@example.com,2836790879,Spain,7598 Reed Groves Apt. 044,00883,2024-01-10,2017-11-03,Active
82,Sandoval-Cunningham,Megan Harmon,sotowilliam@example.org,886-656-7385,Germany,45780 Zoe Shoal,17541,2023-11-22,2015-04-15,Active
83,Donovan-Harris,Louis Crawford,tuckeraudrey@example.com,+1-388-700-1253x90532,Canada,17536 Stein Islands,90891,2024-12-31,2020-11-15,Active
84,"Edwards, Baker and Anderson",Jerome Gordon,sandovalkerry@example.com,001-996-336-0402x451,United States,7761 Amy Overpass,98880,2024-03-13,2022-11-17,Active
85,"Evans, Stewart and Walton",Anna Richards,collinsmichael@example.com,001-749-545-2831,Canada,920 Smith Glen Suite 357,58944,2024-05-09,2017-08-24,Active
86,Smith PLC,Eric Contreras,mark38@example.com,489.460.1052,Canada,35958 Michael Ridge,97156,2022-11-02,2018-12-15,Active
87,"Ferrell, Jones and Lewis",Kara Russell,patrickjohnson@example.com,653.549.5875x674,France,40091 Lopez Centers,81886,2024-07-22,2019-04-09,Active
88,Anderson-Bailey,Maria Todd,brookesimmons@example.org,(332)925-0324x6778,Germany,855 Larry Cape Apt. 817,97900,2022-10-24,2020-04-12,Active
89,Suarez LLC,Robert Simmons,nicholsjohn@example.net,+1-532-626-5711x4187,Spain,06320 Kane Burg Suite 857,96850,2024-01-27,2023-04-16,Active
90,Moore-Bass,Annette Simpson,reyesamber@example.net,001-677-578-4265x9798,Brazil,4656 Jonathan Valley Suite 960,55523,2024-04-21,2021-12-09,Active
91,"Turner, Riggs and Roman",Steven Barrett,miareeves@example.org,(320)517-1114x2308,United States,4413 Haynes Lakes,34541,2022-10-22,2019-06-28,Active
92,"Smith, Montoya and Evans",Tina Ortiz,morrowcassandra@example.com,001-272-460-3463x1789,France,15258 Jeffery Bridge Suite 975,71965,2022-10-16,2021-10-10,Active
93,"Garcia, Humphrey and Baker",Joshua Escobar,frenchjennifer@example.com,867.339.6369,United Kingdom,7873 Brandy Cliffs Apt. 745,76913,2023-07-23,2018-06-19,Active
94,Newton and Sons,Allison Chandler,john03@example.org,001-578-470-0174x5388,Germany,67737 Erik Burgs,38515,2023-03-12,2016-02-12,Active
95,Campbell-Clark,Ricardo Bowman,grayaaron@example.com,(519)374-0282,United Kingdom,56320 Ann Extensions Apt. 041,35498,2023-12-09,2022-05-09,Active
96,Harris-Walters,James Vargas,craigchristina@example.net,(243)403-5901x8181,Brazil,077 Steve Knoll Suite 019,67939,2024-08-14,2016-11-27,Active
97,Wagner-King,Jeffrey Wallace,robersontimothy@example.org,405-202-5381,Brazil,4272 Vaughn Prairie Apt. 260,03305,2024-02-05,2020-07-13,Active
98,Davis Group,Kayla Hudson,johnsontrevor@example.com,646-797-9559x3665,Mexico,7367 Alvarez Roads,74064,2023-04-22,2022-07-27,Active
99,Williams-Cook,Jillian Sanders,jennifertaylor@example.com,621-980-8595x44863,United States,316 Fisher Extensions,54813,2024-10-22,2020-06-15,Active
100,Walsh LLC,Virginia Nguyen,gabrielcasey@example.org,383-229-5060,United States,723 Higgins Villages Suite 936,29214,2022-11-10,2022-08-15,Active
101,Figueroa PLC,Thomas Guzman,uaustin@example.org,+1-298-445-2761x988,United States,203 Kim Street,10795,2022-09-26,2019-04-05,Active
102,"Patterson, Smith and Jones",Kimberly Lynch,mariah26@example.org,727-243-4184x243,Germany,68973 Harris Lock,88906,2024-12-25,2022-01-24,Active
103,"Mckee, Gardner and Davenport",Kevin Allen,brenda47@example.org,781-448-5396x831,Canada,0859 Barnett Ports Suite 580,17447,2024-11-18,2021-10-30,Active
104,"Tran, Jordan and Williams",Joseph Taylor,jason22@example.com,293-847-3725x773,Brazil,5129 Villa Inlet Apt. 071,33645,2024-02-11,2023-02-02,Active
105,Nolan-Flynn,John Marshall,jorge30@example.com,285.856.1908,Italy,257 Jackson Springs Apt. 880,55850,2023-11-18,2022-05-26,Inactive
106,Nolan and Sons,William Huff,susanelliott@example.org,442.858.7977,United States,22171 Jennifer Mews,13870,2023-01-10,2023-07-05,Active
107,"Wright, Garcia and Deleon",Alexander Roberson,megan13@example.net,(457)662-2978,Mexico,8157 Frank Gateway Suite 720,52614,2023-08-30,2023-06-20,Inactive
108,Dickson-Brady,Jaclyn Harmon,lisa96@example.com,291.482.4553x72420,United Kingdom,2476 Bailey Courts Apt. 429,93348,2022-11-28,2019-03-12,Inactive
109,Hancock and Sons,Allen Jones,robertschultz@example.org,+1-399-769-5280x70771,United States,195 Steven Neck,56666,2022-02-21,2020-10-05,Active
110,Johnson-Doyle,Taylor Martinez,bishopcindy@example.com,358.822.7935x62559,United States,80577 Hughes Port,76454,2023-08-19,2021-05-12,Active
111,Patton-Jenkins,Steven Norman,stuartkhan@example.net,343-349-6709x73893,United States,144 Steven Plaza,96907,2023-09-05,2016-02-16,Active
112,"Shields, Cochran and Adams",Juan Lopez,christopher31@example.com,001-428-211-0180x13805,United States,641 Franco Lights Suite 346,85912,2024-11-03,2016-05-01,Inactive
113,"Rodriguez, Brennan and Garrison",Rodney Lawrence,christopher19@example.net,(435)372-4344x04890,Netherlands,3283 Denise Ford Apt. 588,91563,2023-11-27,2022-09-11,Active
114,Gonzalez Group,Heather Sanders,haynesryan@example.com,672.507.4472x276,United Kingdom,3919 Kyle Lake Suite 349,91846,2024-08-28,2016-02-27,Inactive
115,Torres-Pope,Kimberly Alexander,jennifer25@example.com,001-711-372-2837,Germany,034 Barr Way Apt. 607,36446,2022-12-02,2022-05-02,Active
116,Walker Ltd,Sarah Parker,ronniewilliams@example.org,001-782-587-0485,Spain,46221 Walker Mountains,58413,2024-06-09,2019-06-30,Active
117,Ross LLC,Anthony Pearson,garymeyer@example.org,997.987.2619x69716,United Kingdom,71145 Bryan Mountains,68808,2022-12-26,2022-08-04,Active
118,Rasmussen LLC,April Morrison,melissa99@example.org,(641)918-4762x974,United States,709 Russo Underpass,10131,2024-08-23,2018-04-29,Active
119,May-Ross,Kristopher Little,sandra45@example.net,001-291-361-7102x7630,Italy,039 Byrd Lake Apt. 543,07232,2023-08-04,2017-08-21,Active
120,"Rivera, Johnson and Wiley",Jillian Conley,ericbrown@example.com,001-557-930-4523x19134,Brazil,55457 Scott Corner,45119,2023-07-11,2020-05-25,Active
121,White-Estes,Mark Riddle DDS,michelle52@example.net,874-867-6654x20986,United Kingdom,109 Roberts Alley,05955,2022-11-13,2019-01-15,Inactive
122,Johnson-Carlson,Patricia Lawrence,cindy75@example.com,350-270-7318x1442,Italy,51798 Brandt Skyway,94486,2022-05-08,2017-03-03,Active
123,Chandler-Edwards,Brian Wiley,leroy28@example.net,(509)801-6744,Canada,364 Bell Village Suite 014,34761,2023-02-01,2023-03-20,Active
124,"Joyce, Wilson and Lam",Adam Schneider,wanda38@example.org,001-819-735-3858x240,United States,9987 Chase Glens Suite 865,26234,2025-01-24,2023-09-27,Active
125,Scott Ltd,Mario Snyder,bhenry@example.com,+1-689-838-1352,United States,15790 Felicia Alley,46792,2022-12-26,2016-10-23,Active
126,Smith-Frost,Paul Johnson,fbrown@example.net,(447)702-1770,Mexico,3131 Jennifer Creek,02056,2024-01-10,2022-11-26,Active
127,"Mcdaniel, Bentley and Mclaughlin",Lindsay Hernandez,millerdavid@example.org,283.469.7791,United Kingdom,1721 Brandy Greens,65792,2023-10-12,2018-09-24,Active
128,Diaz Inc,Darren Lopez,jeffreywolf@example.net,+1-320-689-6958x25174,Spain,11714 Knight Turnpike,71003,2023-04-30,2017-12-26,Active
129,"Mccall, Hanson and Alvarado",Samantha Walters,nkelly@example.net,(359)725-3460x581,United States,6584 Carol Turnpike Suite 673,36940,2024-04-06,2017-11-09,Active
130,Cortez LLC,Christopher Williams,gregory44@example.net,(636)413-7753,Brazil,97927 Lopez Coves,28947,2022-04-04,2019-06-16,Active
131,"Parker, Ortiz and Powell",Kathleen Gonzalez,makaylarogers@example.net,659-512-5368x586,Mexico,21351 Keith Mall,35433,2025-01-10,2018-09-02,Active
132,Spencer-Lee,Robin Floyd,karen74@example.net,211.945.9392,United States,77142 Cynthia Mountains,02942,2023-09-06,2018-04-02,Active
133,"Bentley, Byrd and Orr",Marilyn Henderson,christineblackwell@example.org,208.639.5406x3516,United States,2989 Mary Estates,15751,2023-03-07,2018-08-23,Active
134,"Carroll, Sullivan and Bass",Robert Hayes,michaelwatson@example.com,001-714-754-8303x8606,Canada,796 Smith Street,17295,2023-12-27,2017-11-28,Active
135,Mitchell-Jordan,Tony Navarro,barryvincent@example.com,928-812-1840,Austria,8470 Costa Stream Apt. 754,13875,2024-12-06,2016-08-27,Active
136,"Lawson, Morris and Ramos",Alexander Lamb,sarahmorgan@example.org,(573)890-4907x8243,Canada,0247 Jacqueline Summit Apt. 557,88348,2024-09-04,2021-08-13,Active
137,"Lewis, Kennedy and Santana",Richard Davis DDS,bryan34@example.com,560-863-0258,Brazil,6052 Wright Ranch,49686,2022-04-27,2019-10-06,Active
138,"Jackson, Miller and Robertson",James Alvarado,bdougherty@example.com,001-368-324-0638x3466,France,704 Walker Ridges,07092,2022-07-24,2015-05-20,Inactive
139,"Harvey, Davis and Crane",Stephanie Gregory,teresascott@example.org,849.653.8767x9897,Canada,949 Johnson Viaduct,96926,2023-08-01,2023-10-22,Inactive
140,Chambers and Sons,Dawn Le,thomas56@example.org,233-912-5475x6080,Japan,90820 Hawkins Groves Apt. 295,54281,2024-09-05,2021-09-19,Active
141,Hernandez Inc,Katherine Clark,gardnerelizabeth@example.org,+1-337-262-2414x198,Norway,63001 Williams Fort Apt. 900,85120,2022-04-08,2018-08-04,Active
142,Riggs PLC,Dawn Watson,owenlori@example.org,001-225-807-8537x33502,United States,36870 Brown Meadow,38857,2023-11-20,2016-11-19,Inactive
143,Gibson Ltd,Nathaniel Campbell,pamelabaldwin@example.org,823.982.7814x6967,Brazil,9777 Nicholson Stream,77041,2024-08-06,2021-11-24,Active
144,"Lee, Horton and Snyder",Stephanie Hester,susan12@example.org,949-983-8648,Canada,108 Zavala Keys Apt. 791,55110,2022-07-18,2017-10-02,Active
145,Hernandez Ltd,Jennifer Pennington,ocarlson@example.org,001-438-612-9465x760,United States,674 Lopez Spring,09074,2024-10-08,2017-06-01,Active
146,Stafford Inc,Mary Brennan,erickelly@example.com,001-812-346-9025,United States,0500 Thompson Way Apt. 574,37167,2022-06-26,2021-04-02,Active
147,Robinson-Brock,Rachel Hoffman,greendavid@example.org,(264)401-7489x09013,Germany,34689 Kelly Mills,65422,2024-09-16,2020-11-06,Inactive
148,"Holmes, Williams and Wright",Mary Mcintosh,ofuentes@example.org,+1-378-633-2067,Brazil,276 Moore Walks Suite 624,60134,2024-10-09,2015-06-14,Active
149,Bryant Group,Theresa Soto,vmanning@example.org,(970)731-2869x13214,United States,067 David Terrace,56448,2022-04-11,2023-08-22,Active
150,"Schmidt, Hansen and Stewart",Sandra Lewis,phillipsluis@example.com,(452)484-3863,United States,4730 Robinson Brooks Suite 006,51014,2024-04-10,2023-07-09,Active
151,Salazar-Ball,Sandra Holmes,rogersbenjamin@example.com,(217)605-0757,Italy,75923 Daniel Loop,72533,2024-12-07,2021-12-07,Active
152,"Simmons, Meadows and Griffin",Allen Alvarado,davenportphilip@example.net,999.241.2642x8879,United States,69412 King Parkway,65401,2025-01-08,2023-06-11,Inactive
153,Manning Group,Jacob Ruiz,gsnyder@example.org,(832)368-6679x016,United States,57899 Alex Field,56812,2023-05-18,2015-03-14,Active
154,Green-Wright,Stephanie Roberts,sheltondanielle@example.net,+1-614-976-2221,Brazil,69988 Aguirre Falls,62462,2023-10-27,2019-04-25,Active
155,"Ramirez, Strickland and Washington",Stephen Ortiz,clarkroberto@example.com,+1-911-595-2665x33067,South Korea,52812 Amanda Trace,56940,2024-04-24,2018-02-06,Active
156,Hill Inc,Kristina Sandoval,jamesthompson@example.net,+1-454-947-5568x254,United States,880 Duffy Springs Apt. 520,40505,2023-12-04,2018-08-03,Inactive
157,"Mitchell, Nelson and Flores",Elizabeth Savage,wlee@example.com,+1-671-685-5168x77001,France,6542 Julie Ridge,63587,2023-10-20,2017-01-15,Active
158,"Miller, Hernandez and Reyes",Yesenia Vaughn,cbishop@example.org,(764)880-3567x611,United Kingdom,8637 Melinda Haven Apt. 517,18190,2022-11-20,2023-11-02,Active
159,Mccarthy Inc,Amanda Johnson,jennifercarson@example.net,805-387-3422x2538,United States,214 Stokes Forges Suite 407,46455,2024-12-04,2015-08-12,Active
160,Russell-Daniels,Elizabeth Marsh,christopherwalter@example.com,+1-381-573-1430x90206,France,937 Sophia Glen Apt. 232,44736,2024-03-27,2019-10-02,Active
161,Brown-Wall,Nathan Carlson,dmiller@example.org,(991)424-8971x37388,Canada,0037 Hancock Mountains,27400,2022-04-11,2021-10-01,Active
162,Stein-Silva,Jennifer Martin,jameskelley@example.com,300-324-3240x504,Germany,845 Roberson Passage Apt. 345,04510,2024-04-13,2022-11-02,Active
163,"Smith, Gilmore and Johnston",Amber Gonzalez,matthew27@example.net,980.481.8137,Germany,20931 Stephen Shore,08865,2023-05-01,2020-10-05,Active
164,Smith-Bell,William Munoz,xkim@example.org,317-242-2654x885,Brazil,634 Allison Ways Suite 962,44268,2022-03-19,2021-11-20,Active
165,Castaneda-Ashley,Angel Mcdonald,lsmith@example.org,902-311-3340,United States,035 Scott View,54576,2024-08-23,2016-08-27,Active
166,Medina-Navarro,Oscar Meadows,ruben09@example.org,926-763-2759x348,United Kingdom,62411 Cruz Station Apt. 186,63500,2024-06-30,2022-04-24,Active
167,"Hurst, Freeman and Nelson",Leslie Nelson,deankathleen@example.net,(435)559-7879x963,Canada,170 Theodore Crescent Apt. 568,06928,2023-04-27,2021-08-28,Active
168,Johnson-Rogers,Haley Fuller,fhicks@example.net,766.542.9742x24417,United States,978 Bell Path Suite 733,53556,2022-03-01,2019-12-20,Active
169,"Yates, Ramsey and Pittman",Dana Schaefer,alexander86@example.com,001-596-777-5362x1027,United States,39631 Fuentes Park Apt. 739,28718,2025-01-11,2022-08-12,Active
170,Hooper PLC,Chad Hansen,mhudson@example.net,+1-710-879-0247,Germany,75242 Green Mission,02011,2022-05-25,2017-08-08,Active
171,Meadows PLC,Hector Rhodes,elizabethsampson@example.net,307.670.2147x4550,France,978 Rubio Stream Apt. 515,21978,2022-10-11,2021-04-09,Active
172,"Alvarado, Miller and Patterson",Makayla Evans,eatoncourtney@example.com,001-982-734-7993x1845,United States,745 Wilson Orchard,21811,2022-09-20,2020-07-05,Active
173,White-Green,Matthew Chung,hnelson@example.org,831-870-6783x6760,Brazil,274 Collins Viaduct Apt. 842,47541,2025-02-06,2022-12-30,Inactive
174,Lewis-Murphy,Daniel Perez,sylviamiller@example.net,279.292.8630x82539,United States,885 Pace Harbor,72519,2022-10-06,2023-05-30,Active
175,Ramirez-Bean,Terry Carlson,johnsonkeith@example.com,(443)416-7040x492,Germany,7704 Foster Cape,63694,2023-07-04,2023-11-30,Inactive
176,King-Miller,Melissa Cohen,daniel58@example.com,406-966-0640x646,United States,267 Susan Forge,02023,2023-10-11,2018-05-29,Active
